Time Index,CC Value,Time (UTC),MATLAB Time,Threshold Value,Station,Network,Template,Phase,MAD,CC Relation to MAD
8777.95,0.59557,07 August 2011 02:26:17.950,734722.1016,0.58467,MCWV,US,25_Nov,S,0.064964,9.1678
67558.65,0.71005,08 August 2011 18:45:58.650,734723.7819,0.60325,MCWV,US,25_Nov,S,0.067028,10.5934
67558.9,0.66619,08 August 2011 18:45:58.900,734723.7819,0.60325,MCWV,US,25_Nov,S,0.067028,9.939
68167.15,0.60351,13 August 2011 18:56:07.150,734728.789,0.60258,MCWV,US,25_Nov,S,0.066954,9.0139
55288.35,0.64385,17 August 2011 15:21:28.350,734732.6399,0.61009,MCWV,US,25_Nov,S,0.067788,9.4979
20942.85,0.61474,21 August 2011 05:49:02.850,734736.2424,0.57521,MCWV,US,25_Nov,S,0.063912,9.6185
28857.3,0.995,22 August 2011 08:00:57.300,734737.334,0.5968,MCWV,US,25_Nov,S,0.066311,15.005
61059.775,0.67273,22 August 2011 16:57:39.775,734737.7067,0.5968,MCWV,US,25_Nov,S,0.066311,10.145
9622.075,0.64979,22 August 2011 02:40:22.075,734737.1114,0.5968,MCWV,US,25_Nov,S,0.066311,9.799
71087.05,0.87226,25 August 2011 19:44:47.050,734740.8228,0.59957,MCWV,US,25_Nov,S,0.066619,13.0932
4134.2,0.63501,26 August 2011 01:08:54.200,734741.0478,0.60907,MCWV,US,25_Nov,S,0.067674,9.3834
4133.95,0.60984,26 August 2011 01:08:53.950,734741.0478,0.60907,MCWV,US,25_Nov,S,0.067674,9.0114
56866.35,0.57392,28 August 2011 15:47:46.350,734743.6582,0.56877,MCWV,US,25_Nov,S,0.063197,9.0814
28078.85,0.62609,29 August 2011 07:47:58.850,734744.325,0.5987,MCWV,US,25_Nov,S,0.066522,9.4118
63354.7,0.74029,31 August 2011 17:35:54.700,734746.7333,0.60992,MCWV,US,25_Nov,S,0.067769,10.9238
75831.775,1.1405,02 September 2011 21:03:51.775,734748.8777,0.60528,MCWV,US,25_Nov,S,0.067253,16.959
48119.65,0.64232,04 September 2011 13:21:59.650,734750.5569,0.57923,MCWV,US,25_Nov,S,0.064359,9.9803
62453.875,0.6161,04 September 2011 17:20:53.875,734750.7228,0.57923,MCWV,US,25_Nov,S,0.064359,9.5729
5042.6,0.64369,05 September 2011 01:24:02.600,734751.0584,0.5691,MCWV,US,25_Nov,S,0.063234,10.1796
30363.625,0.63722,05 September 2011 08:26:03.625,734751.3514,0.5691,MCWV,US,25_Nov,S,0.063234,10.0772
19579.075,0.57125,05 September 2011 05:26:19.075,734751.2266,0.5691,MCWV,US,25_Nov,S,0.063234,9.034
30830.55,0.6327,08 September 2011 08:33:50.550,734754.3568,0.59893,MCWV,US,25_Nov,S,0.066548,9.5074
85838.2,0.62289,09 September 2011 23:50:38.200,734755.9935,0.5995,MCWV,US,25_Nov,S,0.066611,9.3511
35547.075,0.59982,11 September 2011 09:52:27.075,734757.4114,0.58338,MCWV,US,25_Nov,S,0.06482,9.2536
25693.725,0.61618,13 September 2011 07:08:13.725,734759.2974,0.60991,MCWV,US,25_Nov,S,0.067768,9.0925
18084.125,0.63383,21 September 2011 05:01:24.125,734767.2093,0.60703,MCWV,US,25_Nov,S,0.067448,9.3974
22787.5,0.62246,21 September 2011 06:19:47.500,734767.2637,0.60703,MCWV,US,25_Nov,S,0.067448,9.2288
37296.175,0.7505,22 September 2011 10:21:36.175,734768.4317,0.60214,MCWV,US,25_Nov,S,0.066904,11.2176
37874.825,0.59813,25 September 2011 10:31:14.825,734771.4384,0.58177,MCWV,US,25_Nov,S,0.064641,9.253
3995.55,0.93424,26 September 2011 01:06:35.550,734772.0462,0.59398,MCWV,US,25_Nov,S,0.065998,14.1556
