Time Index,CC Value,Time (UTC),MATLAB Time,Threshold Value,Station,Network,Template,Phase,MAD,CC Relation to MAD
72899.225,0.99191,15 September 2011 20:14:59.225,734761.8437,0.8668,MCWV,US,M4_Mainshock_S,S,0.096311,10.2991
31644.95,0.90595,15 September 2011 08:47:24.950,734761.3663,0.8668,MCWV,US,M4_Mainshock_S,S,0.096311,9.4066
68941.875,0.88058,15 September 2011 19:09:01.875,734761.7979,0.8668,MCWV,US,M4_Mainshock_S,S,0.096311,9.1431
66453.55,0.96744,16 September 2011 18:27:33.550,734762.7691,0.8605,MCWV,US,M4_Mainshock_S,S,0.095611,10.1186
71232.825,0.9356,16 September 2011 19:47:12.825,734762.8245,0.8605,MCWV,US,M4_Mainshock_S,S,0.095611,9.7855
58525.35,0.87904,16 September 2011 16:15:25.350,734762.6774,0.8605,MCWV,US,M4_Mainshock_S,S,0.095611,9.1939
42041.55,1.0478,17 September 2011 11:40:41.550,734763.4866,0.8377,MCWV,US,M4_Mainshock_S,S,0.093078,11.2577
33071.85,0.98109,17 September 2011 09:11:11.850,734763.3828,0.8377,MCWV,US,M4_Mainshock_S,S,0.093078,10.5405
67306.95,0.85037,17 September 2011 18:41:46.950,734763.779,0.8377,MCWV,US,M4_Mainshock_S,S,0.093078,9.1361
6894.15,0.83912,17 September 2011 01:54:54.150,734763.0798,0.8377,MCWV,US,M4_Mainshock_S,S,0.093078,9.0152
69747.425,1.0453,18 September 2011 19:22:27.425,734764.8073,0.86198,MCWV,US,M4_Mainshock_S,S,0.095775,10.9138
25957.875,1.029,19 September 2011 07:12:37.875,734765.3004,0.8748,MCWV,US,M4_Mainshock_S,S,0.0972,10.5868
30248.425,0.97847,19 September 2011 08:24:08.425,734765.3501,0.8748,MCWV,US,M4_Mainshock_S,S,0.0972,10.0666
25957.25,0.96039,19 September 2011 07:12:37.250,734765.3004,0.8748,MCWV,US,M4_Mainshock_S,S,0.0972,9.8805
60465.125,0.93708,19 September 2011 16:47:45.125,734765.6998,0.8748,MCWV,US,M4_Mainshock_S,S,0.0972,9.6407
30249.075,0.90821,19 September 2011 08:24:09.075,734765.3501,0.8748,MCWV,US,M4_Mainshock_S,S,0.0972,9.3437
51810.2,0.90655,19 September 2011 14:23:30.200,734765.5997,0.8748,MCWV,US,M4_Mainshock_S,S,0.0972,9.3266
42428.3,0.95012,20 September 2011 11:47:08.300,734766.4911,0.84924,MCWV,US,M4_Mainshock_S,S,0.09436,10.0691
61825.9,0.90161,20 September 2011 17:10:25.900,734766.7156,0.84924,MCWV,US,M4_Mainshock_S,S,0.09436,9.555
13010.175,0.86595,20 September 2011 03:36:50.175,734766.1506,0.84924,MCWV,US,M4_Mainshock_S,S,0.09436,9.1771
59114.05,0.97519,21 September 2011 16:25:14.050,734767.6842,0.85013,MCWV,US,M4_Mainshock_S,S,0.094459,10.324
72709.975,0.93072,21 September 2011 20:11:49.975,734767.8416,0.85013,MCWV,US,M4_Mainshock_S,S,0.094459,9.8532
57840.625,0.91216,21 September 2011 16:04:00.625,734767.6695,0.85013,MCWV,US,M4_Mainshock_S,S,0.094459,9.6567
72709.3,0.86293,21 September 2011 20:11:49.300,734767.8415,0.85013,MCWV,US,M4_Mainshock_S,S,0.094459,9.1355
57849.35,1.0178,22 September 2011 16:04:09.350,734768.6696,0.84779,MCWV,US,M4_Mainshock_S,S,0.094199,10.8046
38376.125,0.86892,22 September 2011 10:39:36.125,734768.4442,0.84779,MCWV,US,M4_Mainshock_S,S,0.094199,9.2243
74937.6,1.0184,23 September 2011 20:48:57.600,734769.8673,0.8623,MCWV,US,M4_Mainshock_S,S,0.095812,10.6295
71426.05,1.0155,23 September 2011 19:50:26.050,734769.8267,0.8623,MCWV,US,M4_Mainshock_S,S,0.095812,10.5988
79490.225,1.0062,23 September 2011 22:04:50.225,734769.92,0.8623,MCWV,US,M4_Mainshock_S,S,0.095812,10.5019
66365.75,0.9927,23 September 2011 18:26:05.750,734769.7681,0.8623,MCWV,US,M4_Mainshock_S,S,0.095812,10.361
66365.05,0.90431,23 September 2011 18:26:05.050,734769.7681,0.8623,MCWV,US,M4_Mainshock_S,S,0.095812,9.4385
74937,0.90358,23 September 2011 20:48:57.000,734769.8673,0.8623,MCWV,US,M4_Mainshock_S,S,0.095812,9.4308
58383.2,1.1649,24 September 2011 16:13:03.200,734770.6757,0.87297,MCWV,US,M4_Mainshock_S,S,0.096997,12.0092
68872.1,1.0683,24 September 2011 19:07:52.100,734770.7971,0.87297,MCWV,US,M4_Mainshock_S,S,0.096997,11.0138
64761.625,0.88395,24 September 2011 17:59:21.625,734770.7496,0.87297,MCWV,US,M4_Mainshock_S,S,0.096997,9.1132
73268.775,1.0279,26 September 2011 20:21:08.775,734772.848,0.8532,MCWV,US,M4_Mainshock_S,S,0.0948,10.8433
56081.55,0.9636,26 September 2011 15:34:41.550,734772.6491,0.8532,MCWV,US,M4_Mainshock_S,S,0.0948,10.1645
53664.725,0.89023,26 September 2011 14:54:24.725,734772.6211,0.8532,MCWV,US,M4_Mainshock_S,S,0.0948,9.3906
60994.95,0.86562,26 September 2011 16:56:34.950,734772.706,0.8532,MCWV,US,M4_Mainshock_S,S,0.0948,9.1311
57464.35,0.96611,27 September 2011 15:57:44.350,734773.6651,0.84533,MCWV,US,M4_Mainshock_S,S,0.093926,10.2859
60582.45,0.92157,28 September 2011 16:49:42.450,734774.7012,0.86295,MCWV,US,M4_Mainshock_S,S,0.095884,9.6114
59178.125,0.95043,29 September 2011 16:26:18.125,734775.6849,0.86385,MCWV,US,M4_Mainshock_S,S,0.095983,9.902
53961.5,0.9242,29 September 2011 14:59:21.500,734775.6246,0.86385,MCWV,US,M4_Mainshock_S,S,0.095983,9.6288
59178.7,0.92185,29 September 2011 16:26:18.700,734775.6849,0.86385,MCWV,US,M4_Mainshock_S,S,0.095983,9.6043
60384.15,1.0304,30 September 2011 16:46:24.150,734776.6989,0.88495,MCWV,US,M4_Mainshock_S,S,0.098328,10.4795
57830.7,0.93559,30 September 2011 16:03:50.700,734776.6693,0.88495,MCWV,US,M4_Mainshock_S,S,0.098328,9.5149
49073.75,0.92584,30 September 2011 13:37:53.750,734776.568,0.88495,MCWV,US,M4_Mainshock_S,S,0.098328,9.4158
57838.6,0.9194,30 September 2011 16:03:58.600,734776.6694,0.88495,MCWV,US,M4_Mainshock_S,S,0.098328,9.3503
62485.45,0.887,30 September 2011 17:21:25.450,734776.7232,0.88495,MCWV,US,M4_Mainshock_S,S,0.098328,9.0208
34479.9,0.9272,01 October 2011 09:34:39.900,734777.3991,0.90956,MCWV,US,M4_Mainshock_S,S,0.10106,9.1745
3859.7,0.85906,03 October 2011 01:04:19.700,734779.0447,0.8109,MCWV,US,M4_Mainshock_S,S,0.0901,9.5344
